Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
82	82	63	218	Chrome Pink	Chrome Pink	Chrome_Pink	Reddish Lilac	#A94C8D	1	Chrome Colors	0	to_lego		0,55,17,34
122	122	64	26	Chrome Black	Chrome Black	Chrome_Black	Black	#1A2933	1	Chrome Colors	-1	to_lego		49,20,0,80
1001	3	65	24	Rubber Yellow	Yellow	Rubber_Yellow	Bright Yellow	#F4CC2E	1	Rubber Colors	8	to_lego,to_bl		0,16,81,4
1001		65	190	Rubber Yellow	Yellow	Rubber_Yellow	Fire Yellow	#F4CC2E	1	Rubber Colors	8	from_lego		0,16,81,4
1009	19	66	44	Rubber Trans-Yellow	Trans-Yellow	Rubber_Trans_Yellow	Transparent Yellow	#C9AF00	0.5019608	Rubber Colors	8	to_lego,to_bl		0,13,100,21
1008	12	67	40	Rubber Trans-Clear	Trans-Clear	Rubber_Trans_Clear	Transparent	#FEFEFE	0.5019608	Rubber Colors	-1	to_lego,to_bl		0,0,0,0
96	96	68	36	Very Light Orange	Very Light Orange	Very_Light_Orange	Light Yellowish Orange	#F2CE9A	1	Solid Colors	5	o		0,15,36,5
96		68	224	Very Light Orange		Very_Light_Orange	Light Brick Yellow	#F2CE9A	1	Solid Colors	5	from_lego		0,15,36,5
93	93	69	198	Light Purple	Light Purple	Light_Purple	Bright Reddish Lilac	#CC6197	1	Solid Colors	0	o		0,52,26,20
88	88	70	192	Reddish Brown	Reddish Brown	Reddish_Brown	Reddish Brown	#572911	1	Solid Colors	3	o		0,53,80,66
86	86	71	194	Light Bluish Gray	Light Bluish Gray	Light_Bluish_Gray	Medium stone grey	#9FA4A8	1	Solid Colors	-1	o		5,2,0,34
85	85	72	199	Dark Bluish Gray	Dark Bluish Gray	Dark_Bluish_Gray	Dark stone grey	#6B6D67	1	Solid Colors	-1	o		2,0,6,57
42	42	73	102	Medium Blue	Medium Blue	Medium_Blue	Medium blue	#5B9CD0	1	Solid Colors	16	o		56,25,0,18
37		74	14	Medium Green	Medium Green	Medium_Green	Pastel Green	#72DBA0	1	Solid Colors	12	from_lego		48,0,27,14
